ORDEM    TABORIGEM                          TABDESTINO                         COPIADO    LIMPAR    
=====    ===============================    ===============================    =======    ======    
<null>    ALIFREQ                            <null>                             F          F         
<null>    ALIGCAL                            <null>                             F          F         
<null>    ALIGPROT                           <null>                             F          F         
<null>    ALIMENTO                           <null>                             F          F         
<null>    ALINUT                             <null>                             F          F         
<null>    ALIORG                             <null>                             F          F         
<null>    ALIPRECO                           <null>                             F          F         
<null>    ANAMNESE                           <null>                             F          T         
<null>    ANTROPS                            <null>                             F          T         
<null>    CADPASTAS                          <null>                             F          T         
<null>    CIDADE                             <null>                             F          T         
<null>    DIETAS                             <null>                             F          T         
<null>    ENDERECO                           <null>                             F          T         
<null>    ESTADO                             <null>                             F          T         
<null>    EXAPESS                            <null>                             F          T         
<null>    GALICAL                            <null>                             F          F         
<null>    GALIPROT                           <null>                             F          F         
<null>    GRUALI                             <null>                             F          F         
<null>    GRUCAL                             <null>                             F          F         
<null>    GRUPROT                            <null>                             F          F         
<null>    INQUERITOS                         <null>                             F          T         
<null>    LISTAREFEICAO                      <null>                             F          F         
<null>    MEDIDACASEIRA                      <null>                             F          F         
<null>    METAS                              <null>                             F          T         
<null>    MODREFEICAO                        <null>                             F          F         
<null>    NACIONALIDADE                      <null>                             F          T         
<null>    NUT                                <null>                             F          F         
<null>    NUTORD                             <null>                             F          F         
<null>    OPCOES                             <null>                             F          F         
<null>    PASTAS                             <null>                             F          T         
<null>    PESSCOMP                           <null>                             F          T         
<null>    PESSOA                             <null>                             F          T         
<null>    PREPARAC                           <null>                             F          T         
<null>    PROFISSAO                          <null>                             F          T         
<null>    REFEICAO                           <null>                             F          F         
<null>    TELEFONE                           <null>                             F          T         
<null>    TIPOANAM                           <null>                             F          F         
<null>    TIPOEXA                            <null>                             F          F         
<null>    USUARIOS                           <null>                             F          T         
<null>    VALIDADE                           <null>                             F          T         
<null>    MEDIDAS                            <null>                             F          F         
